Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,age_group,screen_time_hours,sleep_affected
9,Female,7.66,Smartphone,True,0.51,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),7.66,1
11,Male,3.54,Laptop,True,0.33,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),3.54,1
18,Male,3.85,Laptop,True,0.49,Poor Sleep,Rural,18-29 (Young Adult),3.85,1
14,Female,4.67,Smartphone,True,0.34,Eye Strain,Rural,13-17 (Teen),4.67,0
18,Male,5.15,TV,True,0.33,Anxiety,Urban,18-29 (Young Adult),5.15,0
11,Male,4.1,Laptop,True,0.32,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),4.1,1
11,Female,4.27,TV,True,0.46,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),4.27,1
13,Female,4.32,TV,True,0.4,Poor Sleep,Urban,13-17 (Teen),4.32,1
17,Male,5.19,Smartphone,True,0.44,Eye Strain,Rural,13-17 (Teen),5.19,0
13,Female,5.48,Laptop,True,0.49,Poor Sleep,Rural,13-17 (Teen),5.48,1
17,Female,4.06,Laptop,True,0.32,"Poor Sleep, Anxiety",Urban,13-17 (Teen),4.06,1
10,Male,1.64,TV,False,0.47,,Urban,8-12 (Pre-teen),1.64,0
16,Male,4.25,Smartphone,True,0.39,Eye Strain,Urban,13-17 (Teen),4.25,0
17,Female,4.78,Laptop,True,0.47,Eye Strain,Urban,13-17 (Teen),4.78,0
18,Male,6.24,TV,True,0.41,"Poor Sleep, Anxiety",Urban,18-29 (Young Adult),6.24,1
9,Female,7.36,TV,True,0.54,,Urban,8-12 (Pre-teen),7.36,0
13,Female,4.45,Laptop,True,0.32,Poor Sleep,Rural,13-17 (Teen),4.45,1
14,Male,6.0,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,13-17 (Teen),6.0,1
16,Female,4.78,TV,True,0.48,Poor Sleep,Rural,13-17 (Teen),4.78,1
10,Male,7.02,Smartphone,True,0.44,Poor Sleep,Urban,8-12 (Pre-teen),7.02,1
17,Female,2.79,Smartphone,False,0.34,,Rural,13-17 (Teen),2.79,0
10,Female,5.28,TV,True,0.52,,Urban,8-12 (Pre-teen),5.28,0
14,Female,4.17,Smartphone,True,0.37,Poor Sleep,Urban,13-17 (Teen),4.17,1
11,Female,4.71,Smartphone,True,0.47,,Urban,8-12 (Pre-teen),4.71,0
15,Female,6.46,TV,True,0.46,"Poor Sleep, Anxiety",Urban,13-17 (Teen),6.46,1
14,Female,5.72,Smartphone,True,0.33,,Urban,13-17 (Teen),5.72,0
12,Male,2.91,Tablet,False,0.45,,Urban,8-12 (Pre-teen),2.91,0
14,Female,5.68,Smartphone,True,0.3,Poor Sleep,Urban,13-17 (Teen),5.68,1
10,Female,7.3,Smartphone,True,0.56,,Urban,8-12 (Pre-teen),7.3,0
9,Female,2.06,TV,True,0.49,,Rural,8-12 (Pre-teen),2.06,0
13,Female,4.43,Smartphone,True,0.45,Poor Sleep,Urban,13-17 (Teen),4.43,1
9,Male,0.0,TV,False,0.56,,Urban,8-12 (Pre-teen),0.0,0
10,Female,3.76,Tablet,True,0.45,Poor Sleep,Urban,8-12 (Pre-teen),3.76,1
13,Female,4.84,Smartphone,True,0.3,Poor Sleep,Urban,13-17 (Teen),4.84,1
12,Female,4.16,Smartphone,True,0.3,"Poor Sleep, Anxiety",Rural,8-12 (Pre-teen),4.16,1
15,Male,3.93,Smartphone,True,0.31,Poor Sleep,Urban,13-17 (Teen),3.93,1
16,Female,3.92,Smartphone,True,0.3,Poor Sleep,Urban,13-17 (Teen),3.92,1
18,Male,6.17,Laptop,True,0.38,Eye Strain,Urban,18-29 (Young Adult),6.17,0
10,Male,4.99,Smartphone,True,0.42,Poor Sleep,Urban,8-12 (Pre-teen),4.99,1
17,Male,6.51,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),6.51,1
10,Male,0.43,Tablet,False,0.43,,Urban,8-12 (Pre-teen),0.43,0
10,Female,0.0,Tablet,False,0.4,,Rural,8-12 (Pre-teen),0.0,0
13,Female,4.34,TV,True,0.49,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.34,1
8,Female,3.66,Tablet,True,0.6,,Urban,8-12 (Pre-teen),3.66,0
14,Female,3.55,Smartphone,True,0.44,Poor Sleep,Urban,13-17 (Teen),3.55,1
8,Female,0.63,Tablet,False,0.44,,Urban,8-12 (Pre-teen),0.63,0
12,Female,2.28,Laptop,False,0.47,,Urban,8-12 (Pre-teen),2.28,0
17,Male,4.12,Smartphone,True,0.47,Anxiety,Rural,13-17 (Teen),4.12,0
15,Female,4.64,Smartphone,True,0.4,,Rural,13-17 (Teen),4.64,0
11,Female,6.64,Smartphone,True,0.45,Poor Sleep,Rural,8-12 (Pre-teen),6.64,1
12,Male,3.5,TV,True,0.41,Anxiety,Rural,8-12 (Pre-teen),3.5,0
11,Female,4.42,TV,True,0.34,Poor Sleep,Urban,8-12 (Pre-teen),4.42,1
11,Male,4.98,Laptop,True,0.41,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Urban,8-12 (Pre-teen),4.98,1
15,Female,5.58,Smartphone,True,0.35,Poor Sleep,Urban,13-17 (Teen),5.58,1
9,Male,0.0,Tablet,False,0.41,,Urban,8-12 (Pre-teen),0.0,0
8,Male,5.29,Smartphone,True,0.59,Poor Sleep,Rural,8-12 (Pre-teen),5.29,1
10,Male,4.35,TV,True,0.54,Poor Sleep,Rural,8-12 (Pre-teen),4.35,1
16,Male,4.05,Tablet,True,0.4,Poor Sleep,Urban,13-17 (Teen),4.05,1
11,Male,3.69,TV,True,0.43,Poor Sleep,Urban,8-12 (Pre-teen),3.69,1
17,Male,5.94,Smartphone,True,0.43,,Urban,13-17 (Teen),5.94,0
12,Male,2.69,TV,False,0.46,,Rural,8-12 (Pre-teen),2.69,0
9,Female,2.64,Smartphone,True,0.53,,Urban,8-12 (Pre-teen),2.64,0
11,Female,5.21,Tablet,True,0.35,,Rural,8-12 (Pre-teen),5.21,0
9,Female,0.0,Tablet,False,0.59,,Urban,8-12 (Pre-teen),0.0,0
9,Female,0.0,Tablet,False,0.58,,Urban,8-12 (Pre-teen),0.0,0
11,Female,5.44,TV,True,0.35,,Rural,8-12 (Pre-teen),5.44,0
13,Female,5.83,Laptop,True,0.46,"Poor Sleep, Anxiety",Urban,13-17 (Teen),5.83,1
14,Male,5.53,Smartphone,True,0.37,Poor Sleep,Urban,13-17 (Teen),5.53,1
17,Female,4.37,TV,True,0.45,,Urban,13-17 (Teen),4.37,0
10,Female,2.69,Smartphone,True,0.54,,Urban,8-12 (Pre-teen),2.69,0
10,Female,11.26,Smartphone,True,0.6,Eye Strain,Rural,8-12 (Pre-teen),11.26,0
17,Female,6.75,Tablet,True,0.42,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),6.75,1
13,Female,6.47,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Urban,13-17 (Teen),6.47,1
10,Female,2.37,TV,True,0.44,,Rural,8-12 (Pre-teen),2.37,0
9,Male,4.98,Smartphone,True,0.54,Poor Sleep,Rural,8-12 (Pre-teen),4.98,1
15,Male,4.24,Smartphone,True,0.36,Eye Strain,Urban,13-17 (Teen),4.24,0
12,Female,3.47,Smartphone,True,0.41,,Urban,8-12 (Pre-teen),3.47,0
8,Male,0.0,TV,False,0.47,,Rural,8-12 (Pre-teen),0.0,0
10,Male,12.4,Smartphone,True,0.52,,Urban,8-12 (Pre-teen),12.4,0
17,Male,1.89,Laptop,False,0.46,,Urban,13-17 (Teen),1.89,0
15,Female,4.17,Laptop,True,0.43,"Poor Sleep, Anxiety",Urban,13-17 (Teen),4.17,1
11,Female,4.78,TV,True,0.48,Eye Strain,Urban,8-12 (Pre-teen),4.78,0
14,Female,4.34,Smartphone,True,0.32,,Urban,13-17 (Teen),4.34,0
17,Male,4.6,Smartphone,True,0.3,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),4.6,1
9,Female,1.48,Tablet,False,0.59,,Urban,8-12 (Pre-teen),1.48,0
14,Male,3.91,Smartphone,True,0.48,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),3.91,1
12,Female,5.14,Smartphone,True,0.4,Anxiety,Urban,8-12 (Pre-teen),5.14,0
12,Male,6.49,Smartphone,True,0.46,Poor Sleep,Urban,8-12 (Pre-teen),6.49,1
13,Female,2.84,Smartphone,False,0.47,,Urban,13-17 (Teen),2.84,0
16,Male,5.97,Laptop,True,0.35,Poor Sleep,Rural,13-17 (Teen),5.97,1
13,Male,4.77,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.77,1
15,Female,5.1,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),5.1,1
14,Male,4.31,Smartphone,True,0.33,Poor Sleep,Rural,13-17 (Teen),4.31,1
16,Female,3.74,Smartphone,True,0.42,"Eye Strain, Anxiety",Urban,13-17 (Teen),3.74,0
11,Female,4.68,Smartphone,True,0.32,,Urban,8-12 (Pre-teen),4.68,0
9,Male,2.34,TV,True,0.54,,Rural,8-12 (Pre-teen),2.34,0
14,Male,5.49,Tablet,True,0.48,Eye Strain,Rural,13-17 (Teen),5.49,0
13,Female,4.84,Tablet,True,0.37,,Urban,13-17 (Teen),4.84,0
8,Male,8.11,TV,True,0.55,"Poor Sleep, Obesity Risk",Rural,8-12 (Pre-teen),8.11,1
18,Male,5.59,Tablet,True,0.45,Poor Sleep,Rural,18-29 (Young Adult),5.59,1
16,Male,7.14,Tablet,True,0.44,,Urban,13-17 (Teen),7.14,0
16,Female,5.54,Laptop,True,0.46,Poor Sleep,Urban,13-17 (Teen),5.54,1
9,Female,2.88,TV,True,0.57,,Urban,8-12 (Pre-teen),2.88,0
10,Male,6.7,Smartphone,True,0.44,,Rural,8-12 (Pre-teen),6.7,0
12,Female,4.43,Laptop,True,0.49,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),4.43,1
12,Male,6.25,Laptop,True,0.38,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),6.25,1
8,Female,0.62,Smartphone,False,0.6,,Urban,8-12 (Pre-teen),0.62,0
15,Female,5.2,TV,True,0.47,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),5.2,1
15,Male,4.11,Laptop,True,0.48,,Rural,13-17 (Teen),4.11,0
11,Female,3.04,TV,True,0.31,Poor Sleep,Rural,8-12 (Pre-teen),3.04,1
14,Male,5.64,Smartphone,True,0.32,,Urban,13-17 (Teen),5.64,0
18,Female,3.56,Smartphone,True,0.34,Poor Sleep,Urban,18-29 (Young Adult),3.56,1
17,Female,7.3,Smartphone,True,0.4,Anxiety,Rural,13-17 (Teen),7.3,0
10,Female,1.69,TV,False,0.54,,Rural,8-12 (Pre-teen),1.69,0
13,Male,1.77,Smartphone,False,0.49,,Urban,13-17 (Teen),1.77,0
17,Female,2.59,Smartphone,False,0.34,,Urban,13-17 (Teen),2.59,0
17,Female,0.25,Smartphone,False,0.4,,Urban,13-17 (Teen),0.25,0
16,Male,6.24,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),6.24,1
8,Male,0.88,Smartphone,False,0.51,,Urban,8-12 (Pre-teen),0.88,0
12,Male,3.53,Smartphone,True,0.39,,Urban,8-12 (Pre-teen),3.53,0
11,Male,5.59,TV,True,0.3,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),5.59,1
15,Female,6.83,Laptop,True,0.37,,Urban,13-17 (Teen),6.83,0
18,Female,5.34,TV,True,0.35,"Poor Sleep, Eye Strain",Urban,18-29 (Young Adult),5.34,1
8,Male,2.77,Smartphone,True,0.44,,Rural,8-12 (Pre-teen),2.77,0
16,Female,2.28,Laptop,False,0.45,,Urban,13-17 (Teen),2.28,0
13,Male,2.96,Smartphone,False,0.32,,Urban,13-17 (Teen),2.96,0
11,Female,6.0,Laptop,True,0.49,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),6.0,1
16,Male,4.87,TV,True,0.47,Poor Sleep,Urban,13-17 (Teen),4.87,1
18,Female,6.69,Smartphone,True,0.43,Obesity Risk,Urban,18-29 (Young Adult),6.69,0
12,Female,3.64,Laptop,True,0.43,Poor Sleep,Urban,8-12 (Pre-teen),3.64,1
12,Female,6.53,Laptop,True,0.32,,Urban,8-12 (Pre-teen),6.53,0
12,Male,3.77,Laptop,True,0.45,Poor Sleep,Urban,8-12 (Pre-teen),3.77,1
8,Female,3.59,Tablet,True,0.49,Poor Sleep,Urban,8-12 (Pre-teen),3.59,1
8,Male,7.33,Smartphone,True,0.42,"Poor Sleep, Eye Strain, Anxiety",Urban,8-12 (Pre-teen),7.33,1
15,Female,4.9,Tablet,True,0.44,,Rural,13-17 (Teen),4.9,0
15,Male,3.03,TV,True,0.46,Poor Sleep,Urban,13-17 (Teen),3.03,1
13,Female,6.89,Smartphone,True,0.46,Poor Sleep,Rural,13-17 (Teen),6.89,1
18,Female,3.69,TV,True,0.45,"Poor Sleep, Eye Strain",Urban,18-29 (Young Adult),3.69,1
11,Male,6.4,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),6.4,1
9,Male,4.72,Smartphone,True,0.59,Poor Sleep,Urban,8-12 (Pre-teen),4.72,1
9,Female,3.13,Smartphone,True,0.45,Poor Sleep,Rural,8-12 (Pre-teen),3.13,1
16,Female,4.69,Laptop,True,0.44,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.69,1
12,Female,5.37,TV,True,0.5,Eye Strain,Rural,8-12 (Pre-teen),5.37,0
11,Male,6.29,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),6.29,1
17,Female,5.07,Smartphone,True,0.35,Eye Strain,Urban,13-17 (Teen),5.07,0
8,Female,2.85,TV,True,0.52,,Urban,8-12 (Pre-teen),2.85,0
14,Female,4.04,Laptop,True,0.38,,Rural,13-17 (Teen),4.04,0
10,Female,4.27,TV,True,0.5,Eye Strain,Urban,8-12 (Pre-teen),4.27,0
13,Male,5.3,Smartphone,True,0.45,Poor Sleep,Urban,13-17 (Teen),5.3,1
12,Female,3.13,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),3.13,1
12,Male,4.01,Laptop,True,0.46,Eye Strain,Urban,8-12 (Pre-teen),4.01,0
18,Female,5.1,Smartphone,True,0.37,Poor Sleep,Urban,18-29 (Young Adult),5.1,1
12,Male,4.89,Smartphone,True,0.33,Poor Sleep,Urban,8-12 (Pre-teen),4.89,1
8,Male,2.82,Tablet,True,0.55,,Urban,8-12 (Pre-teen),2.82,0
8,Male,5.05,TV,True,0.54,Obesity Risk,Rural,8-12 (Pre-teen),5.05,0
10,Female,4.58,Smartphone,True,0.44,"Poor Sleep, Obesity Risk",Rural,8-12 (Pre-teen),4.58,1
17,Female,5.57,Tablet,True,0.32,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),5.57,1
11,Male,4.63,Laptop,True,0.46,"Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),4.63,0
12,Male,3.6,Smartphone,True,0.31,Poor Sleep,Urban,8-12 (Pre-teen),3.6,1
9,Female,2.62,TV,True,0.56,,Rural,8-12 (Pre-teen),2.62,0
15,Female,4.84,TV,True,0.38,Poor Sleep,Urban,13-17 (Teen),4.84,1
18,Male,3.66,Tablet,True,0.43,"Poor Sleep, Anxiety",Urban,18-29 (Young Adult),3.66,1
18,Male,4.91,Laptop,True,0.3,Obesity Risk,Urban,18-29 (Young Adult),4.91,0
9,Male,4.34,Tablet,True,0.56,"Eye Strain, Anxiety",Urban,8-12 (Pre-teen),4.34,0
16,Male,6.37,Laptop,True,0.36,"Poor Sleep, Eye Strain, Obesity Risk",Urban,13-17 (Teen),6.37,1
9,Female,2.91,Smartphone,True,0.46,,Rural,8-12 (Pre-teen),2.91,0
16,Female,5.35,Smartphone,True,0.3,Poor Sleep,Rural,13-17 (Teen),5.35,1
14,Female,5.55,Smartphone,True,0.42,,Rural,13-17 (Teen),5.55,0
15,Female,3.28,Laptop,True,0.39,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),3.28,1
18,Male,3.19,TV,True,0.46,"Poor Sleep, Obesity Risk",Urban,18-29 (Young Adult),3.19,1
9,Male,6.73,TV,True,0.53,,Urban,8-12 (Pre-teen),6.73,0
14,Male,4.94,Smartphone,True,0.4,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),4.94,1
13,Female,5.3,Smartphone,True,0.36,"Poor Sleep, Obesity Risk",Urban,13-17 (Teen),5.3,1
11,Male,3.95,Smartphone,True,0.36,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),3.95,1
14,Male,3.06,Smartphone,True,0.33,Poor Sleep,Urban,13-17 (Teen),3.06,1
11,Male,3.23,TV,True,0.3,Eye Strain,Urban,8-12 (Pre-teen),3.23,0
9,Male,4.24,Tablet,True,0.55,Obesity Risk,Rural,8-12 (Pre-teen),4.24,0
17,Female,6.87,Laptop,True,0.5,Poor Sleep,Urban,13-17 (Teen),6.87,1
14,Male,4.89,Tablet,True,0.48,Eye Strain,Rural,13-17 (Teen),4.89,0
15,Female,3.56,Laptop,True,0.37,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),3.56,1
9,Male,3.48,Smartphone,True,0.46,Anxiety,Urban,8-12 (Pre-teen),3.48,0
12,Male,5.32,Smartphone,True,0.47,Eye Strain,Urban,8-12 (Pre-teen),5.32,0
8,Male,6.34,TV,True,0.52,Eye Strain,Urban,8-12 (Pre-teen),6.34,0
14,Female,4.84,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.84,1
15,Male,7.04,Smartphone,True,0.31,Poor Sleep,Urban,13-17 (Teen),7.04,1
13,Male,5.11,Laptop,True,0.49,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),5.11,1
12,Male,4.03,TV,True,0.5,Eye Strain,Rural,8-12 (Pre-teen),4.03,0
13,Male,2.99,Smartphone,False,0.35,,Urban,13-17 (Teen),2.99,0
9,Female,1.98,TV,False,0.48,,Rural,8-12 (Pre-teen),1.98,0
8,Female,5.98,Tablet,True,0.44,Poor Sleep,Rural,8-12 (Pre-teen),5.98,1
14,Female,3.54,TV,True,0.32,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),3.54,1
14,Female,5.46,Smartphone,True,0.41,,Urban,13-17 (Teen),5.46,0
17,Male,5.46,Smartphone,True,0.36,"Poor Sleep, Obesity Risk",Urban,13-17 (Teen),5.46,1
18,Female,3.67,Smartphone,True,0.41,Poor Sleep,Rural,18-29 (Young Adult),3.67,1
17,Male,4.17,Smartphone,True,0.48,Obesity Risk,Rural,13-17 (Teen),4.17,0
9,Male,0.75,TV,False,0.52,,Urban,8-12 (Pre-teen),0.75,0
9,Female,3.11,Smartphone,True,0.52,Poor Sleep,Urban,8-12 (Pre-teen),3.11,1
8,Male,0.0,Smartphone,False,0.56,,Rural,8-12 (Pre-teen),0.0,0
17,Female,4.04,TV,True,0.33,"Poor Sleep, Obesity Risk",Urban,13-17 (Teen),4.04,1
15,Female,4.15,Tablet,True,0.33,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),4.15,1
15,Female,4.55,TV,True,0.49,,Urban,13-17 (Teen),4.55,0
8,Female,8.79,Smartphone,True,0.56,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),8.79,1
18,Female,5.61,Smartphone,True,0.39,Poor Sleep,Urban,18-29 (Young Adult),5.61,1
15,Female,4.4,Laptop,True,0.32,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),4.4,1
16,Male,3.46,Smartphone,True,0.41,Obesity Risk,Urban,13-17 (Teen),3.46,0
11,Male,4.11,TV,True,0.38,"Poor Sleep, Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),4.11,1
8,Male,3.04,Smartphone,True,0.44,Obesity Risk,Rural,8-12 (Pre-teen),3.04,0
8,Male,2.06,TV,True,0.55,,Rural,8-12 (Pre-teen),2.06,0
10,Male,3.03,TV,True,0.44,Poor Sleep,Urban,8-12 (Pre-teen),3.03,1
12,Female,5.05,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),5.05,1
12,Female,0.5,Smartphone,False,0.34,,Rural,8-12 (Pre-teen),0.5,0
16,Female,6.04,Laptop,True,0.33,Poor Sleep,Rural,13-17 (Teen),6.04,1
17,Female,6.05,Smartphone,True,0.44,,Urban,13-17 (Teen),6.05,0
9,Female,5.49,Smartphone,True,0.6,Poor Sleep,Urban,8-12 (Pre-teen),5.49,1
9,Male,3.6,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),3.6,1
13,Male,3.61,Smartphone,True,0.32,"Poor Sleep, Eye Strain, Obesity Risk",Urban,13-17 (Teen),3.61,1
16,Male,3.45,Tablet,True,0.42,"Poor Sleep, Anxiety",Urban,13-17 (Teen),3.45,1
8,Female,5.83,TV,True,0.6,"Poor Sleep, Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),5.83,1
16,Female,4.34,Smartphone,True,0.32,"Anxiety, Obesity Risk",Urban,13-17 (Teen),4.34,0
16,Female,4.26,TV,True,0.47,Eye Strain,Urban,13-17 (Teen),4.26,0
16,Male,5.23,Smartphone,True,0.34,Poor Sleep,Urban,13-17 (Teen),5.23,1
12,Female,5.83,Laptop,True,0.4,Eye Strain,Urban,8-12 (Pre-teen),5.83,0
16,Male,4.96,Tablet,True,0.32,"Poor Sleep, Anxiety",Urban,13-17 (Teen),4.96,1
18,Male,3.45,Laptop,True,0.35,Poor Sleep,Urban,18-29 (Young Adult),3.45,1
11,Male,5.17,TV,True,0.48,Poor Sleep,Urban,8-12 (Pre-teen),5.17,1
9,Female,8.01,Smartphone,True,0.56,Obesity Risk,Urban,8-12 (Pre-teen),8.01,0
13,Male,4.47,TV,True,0.36,"Poor Sleep, Eye Strain, Obesity Risk",Urban,13-17 (Teen),4.47,1
11,Male,5.5,Laptop,True,0.43,Poor Sleep,Urban,8-12 (Pre-teen),5.5,1
13,Male,3.85,Smartphone,True,0.41,Poor Sleep,Urban,13-17 (Teen),3.85,1
10,Female,4.62,Smartphone,True,0.55,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),4.62,1
13,Male,3.12,Smartphone,True,0.49,,Urban,13-17 (Teen),3.12,0
9,Female,8.95,Smartphone,True,0.55,Poor Sleep,Rural,8-12 (Pre-teen),8.95,1
9,Male,2.61,TV,True,0.46,,Urban,8-12 (Pre-teen),2.61,0
16,Female,3.28,TV,True,0.4,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),3.28,1
14,Male,4.84,Smartphone,True,0.5,"Poor Sleep, Eye Strain, Obesity Risk",Urban,13-17 (Teen),4.84,1
10,Female,7.51,TV,True,0.48,"Poor Sleep, Obesity Risk",Rural,8-12 (Pre-teen),7.51,1
18,Female,5.47,Tablet,True,0.4,"Eye Strain, Anxiety",Urban,18-29 (Young Adult),5.47,0
8,Male,4.05,Tablet,True,0.44,,Urban,8-12 (Pre-teen),4.05,0
15,Male,2.97,Smartphone,False,0.4,,Urban,13-17 (Teen),2.97,0
13,Male,4.46,Laptop,True,0.39,Poor Sleep,Urban,13-17 (Teen),4.46,1
14,Male,5.31,Tablet,True,0.4,Poor Sleep,Urban,13-17 (Teen),5.31,1
16,Female,4.19,Laptop,True,0.47,"Poor Sleep, Anxiety",Urban,13-17 (Teen),4.19,1
12,Female,4.34,Tablet,True,0.43,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),4.34,1
8,Male,3.3,Smartphone,True,0.48,Eye Strain,Urban,8-12 (Pre-teen),3.3,0
17,Male,5.25,Smartphone,True,0.3,"Eye Strain, Anxiety",Rural,13-17 (Teen),5.25,0
14,Female,7.67,Smartphone,True,0.33,,Urban,13-17 (Teen),7.67,0
12,Female,3.58,Laptop,True,0.4,Poor Sleep,Urban,8-12 (Pre-teen),3.58,1
10,Female,7.85,Tablet,True,0.46,Poor Sleep,Rural,8-12 (Pre-teen),7.85,1
16,Male,4.28,Smartphone,True,0.45,Poor Sleep,Rural,13-17 (Teen),4.28,1
8,Female,4.84,Smartphone,True,0.46,Poor Sleep,Rural,8-12 (Pre-teen),4.84,1
8,Male,6.25,TV,True,0.47,Poor Sleep,Urban,8-12 (Pre-teen),6.25,1
8,Male,5.86,Tablet,True,0.47,Poor Sleep,Rural,8-12 (Pre-teen),5.86,1
10,Male,3.62,Tablet,True,0.52,"Eye Strain, Anxiety",Urban,8-12 (Pre-teen),3.62,0
13,Female,5.62,Laptop,True,0.31,,Urban,13-17 (Teen),5.62,0
17,Male,4.96,Smartphone,True,0.49,,Rural,13-17 (Teen),4.96,0
18,Male,5.48,Smartphone,True,0.46,"Poor Sleep, Anxiety",Urban,18-29 (Young Adult),5.48,1
10,Male,2.38,TV,True,0.6,,Rural,8-12 (Pre-teen),2.38,0
15,Male,2.81,Laptop,False,0.46,,Rural,13-17 (Teen),2.81,0
17,Male,4.39,TV,True,0.39,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),4.39,1
9,Male,4.92,TV,True,0.57,"Poor Sleep, Anxiety",Rural,8-12 (Pre-teen),4.92,1
16,Female,6.94,Smartphone,True,0.41,Poor Sleep,Urban,13-17 (Teen),6.94,1
10,Female,0.8,TV,False,0.45,,Rural,8-12 (Pre-teen),0.8,0
12,Female,3.79,TV,True,0.4,"Poor Sleep, Eye Strain, Obesity Risk",Rural,8-12 (Pre-teen),3.79,1
17,Male,3.13,Smartphone,True,0.36,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Urban,13-17 (Teen),3.13,1
15,Female,1.98,Laptop,False,0.46,,Rural,13-17 (Teen),1.98,0
9,Female,0.0,Tablet,False,0.48,,Urban,8-12 (Pre-teen),0.0,0
13,Male,7.05,TV,True,0.37,Poor Sleep,Rural,13-17 (Teen),7.05,1
12,Female,3.61,Laptop,True,0.42,,Rural,8-12 (Pre-teen),3.61,0
17,Male,5.89,Smartphone,True,0.39,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),5.89,1
16,Male,5.41,Smartphone,True,0.32,Poor Sleep,Rural,13-17 (Teen),5.41,1
12,Male,5.71,TV,True,0.46,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),5.71,1
9,Female,4.75,TV,True,0.53,Poor Sleep,Urban,8-12 (Pre-teen),4.75,1
12,Female,3.15,Smartphone,True,0.37,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),3.15,1
11,Male,3.68,TV,True,0.4,"Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),3.68,0
18,Male,3.98,Tablet,True,0.49,"Poor Sleep, Obesity Risk",Urban,18-29 (Young Adult),3.98,1
14,Male,5.43,Laptop,True,0.5,,Urban,13-17 (Teen),5.43,0
13,Female,3.63,Smartphone,True,0.37,Eye Strain,Urban,13-17 (Teen),3.63,0
9,Female,0.96,Smartphone,False,0.44,,Rural,8-12 (Pre-teen),0.96,0
18,Male,4.13,Smartphone,True,0.46,,Urban,18-29 (Young Adult),4.13,0
18,Male,5.33,TV,True,0.37,Poor Sleep,Rural,18-29 (Young Adult),5.33,1
12,Female,5.88,Smartphone,True,0.36,"Anxiety, Obesity Risk",Urban,8-12 (Pre-teen),5.88,0
14,Female,4.85,Smartphone,True,0.38,"Poor Sleep, Anxiety",Rural,13-17 (Teen),4.85,1
18,Female,4.12,Laptop,True,0.37,"Poor Sleep, Eye Strain",Urban,18-29 (Young Adult),4.12,1
